Mixture,B,CTL,GMP-like,LSPC-Cycle,LSPC-Primed,LSPC-Quiescent,Mono-like,Monocyte,NK,Plasma,ProMono-like,T,cDC,cDC-like,P-value,Correlation,RMSE,Absolute score (sig.score)
A12186,2.02904889260576,1.57104471699543,1.38909576636854,6.91188627371591,0,3.86760527900249,13.2568177623891,0,0.189558015172117,0.63558085226067,23.5372150149114,0,0.226093172388154,6.90377067165456,0,0.97997458248934,0.577227890766072,60.5177164174641
A12187,3.03721810997546,1.47388554231271,1.11566220949223,4.82790740102257,0.723590888525769,6.54438101101561,18.0465430694553,0,0.399291065959882,0.568487680996957,20.7055732290392,0,0,5.38641164627124,0,0.984304507485252,0.589435352238625,62.828951854067
A12245,2.17501180660876,0.846660025218821,0.484187062966572,10.0305457695514,0,2.65688754018865,9.87895729824071,0,0.191370839385712,0.566036061899475,8.56729575093446,0,1.63614044688565,10.4043378407035,0,0.975820818008491,0.219037687633191,47.4374304425837
A12246,1.79168439861164,0.780962257850135,0.820742568076265,5.66574744409991,0,3.42292338412742,14.974431791879,0,0,0.46987041328714,15.1850883730236,0.584027497558534,2.08565166631167,9.64921000780633,0,0.969504595915029,0.466259090350864,55.4303398026316
A14969,0.82427721252704,0.874919084117092,1.73708595649248,4.79534375021977,0,14.04199988298,0.231634743211447,0,0.22531964768718,0.525900014071101,2.28203406521405,0.00575125094666082,1.48512944320962,7.06891975195514,0,0.885127279963411,0.829076190149433,34.0983148026316
A14970,0.765403005381316,0.455289687561947,1.74859060860105,3.63044738109185,0.230037551648838,10.6023917888431,0.409781019097474,0,0.339566594148493,0.417721206273872,2.60430244517,0.293343082279236,1.08868869121606,5.30028394825619,0,0.95769807639144,0.736074453475473,27.8858470095694
A14971,0.952993277307713,0.542802535293804,1.9537706658068,6.87951852395045,0.47426082112497,8.15605044040656,0.899856299844228,0,0.169830749842385,0.267369169659108,5.93205113004669,0.466314703120523,1.41124193257112,5.8693294041357,0,0.94832433995691,0.541772145570005,33.97538965311
A14972,1.14467939706216,1.9176752420939,20.0524840143693,3.4433429327634,0,12.6960895800259,0,2.47068400137251,0.605429872440769,1.18660183964373,0.932132067300944,0,0.991439177908639,2.23267171951638,0,0.661171546944093,0.916890838522025,47.6732298444976
A14973,1.1859760619901,1.90210193385222,20.229695335636,3.68975877364202,0,10.0974671116941,0,2.23561778689065,0.66901196026866,1.18968966992701,0.930460344072715,0,0.79985548569142,2.70604472293804,0,0.707180475976634,0.907624164329685,45.6356791866029
A14974,1.0986985585247,1.84255225410541,21.0344621081122,3.36679252082455,0,10.5587656004236,0,1.53461443170282,0.81972236622327,1.00378257567826,0.688296944315549,0,0.813832545201634,3.28192495134742,0,0.733719629379214,0.907175965490594,46.0434448564593
A14975,0.633937449822571,0.579426719161009,0.560388500027172,4.25404780542231,0.935638773468855,11.4621033754784,0.82043347557718,0,0.176955699278241,0.420379560954381,4.82032278426608,0.353053547712441,1.44611528027684,4.74356712424834,0,0.960641363620394,0.574125591636879,31.2063700956938
A14976,0.646999607782736,0.424148411085349,1.53721552426517,2.6704722830628,0,10.9854447419653,0.504709756179834,0,0.289295910433385,0.364530198360014,2.58392384781033,0.295245453672169,0.976056686770399,5.42767262047852,0,0.963168380884878,0.717279566391885,26.705715041866
A14977,0.797502777550135,0.580213266956707,0.826918443818961,3.19428007547432,1.66930766298993,12.2990480418731,0.184507777599572,0,0.20632560713403,0.369071660683251,1.56495286858184,0.159231180252019,1.54471324407415,5.67800206406459,0,0.947689379046293,0.843226920521041,29.0740746710526
A14978,0.775319023919631,0.418276970353992,2.09030373036622,5.29948637873263,1.33059706394575,10.2724051242383,0.290373453519293,0,0.326903055776894,0.362617087517748,2.4312655892484,0.457099745481593,1.47075321708495,5.56932931459927,0,0.948591332701598,0.784198350099015,31.0947297547847
A14979,0.731948409289429,0.473485694429777,1.2218819770736,6.37609176556206,1.6097565282401,10.5104652166452,0.0101326246405517,0,0.288324311684675,0.37114293519496,1.65485213684749,0.343312206494899,1.37695026138724,4.88060410834736,0,0.932461716806602,0.85314478037621,29.8489481758373
A14980,0.977665365086026,0.570350607934833,2.48950308469487,7.34440894101293,2.26325811570225,5.43953140326492,1.30227156744247,0,0.294868160387747,0.324819080237383,3.74408092565616,0.115711654981795,2.12751604040816,6.49506645869286,0,0.953087619735597,0.645885549185361,33.4890514055024
A14981,1.1132244002026,0.615107411874584,1.93077677423635,7.40168081230872,1.80301931073778,5.59643854843854,1.15141397584631,0,0.329195708720207,0.333523583848107,2.80007456847633,0.050252721724246,2.21031024358616,6.54431650937805,0,0.951432466969595,0.705587329305377,31.879334569378
A14982,0.74623109452953,0.310195698445153,1.12348132646406,7.09891012200466,0.143842075079224,8.67140098219193,0.245408051494603,0,0.454198819515132,0.308733809350068,2.24966202629721,0.348142468186894,1.45058353101178,6.07942683155415,0,0.940175624886381,0.791306640899888,29.2302168361244
A17908,1.02771219880774,0.278011129630694,1.46294956943523,17.0095016922762,0,8.57285667986748,0,0.435944398396852,0.471137444961055,0.408453986952613,0.254258982861138,0.398355172539775,1.59081038882928,4.04054071190123,0,0.695118526599507,0.938881893497874,35.9505323564593
A17909,0.781944807880201,0.310296450973216,0.194344290754814,9.81922256657978,0,15.6792973247516,0,0.410104679768728,0.172787680785348,0.337343676365596,0.247850917637437,0.511848215633848,1.71562658597094,3.36546814978844,0,0.716159752186243,0.936324976602589,33.54613534689
A18101,1.80518977765232,0.315345700374976,1.31765011272135,12.8771912993833,0,4.8579013591388,0,0.128549566233048,0.430041377522286,0.585365463349826,0.281676343427721,1.29306714151652,0.955585270286704,3.10768892092903,0,0.499178655340861,0.959933888184775,27.9552523325359
A18102,2.23604006762805,0.254334197592799,1.73290857020654,12.0532187558639,0,5.54086369873641,0.0532327562995886,0.0822316474023991,0.214431579618255,0.598091082996369,0.362878507842302,1.673896667981,1.52976570983413,3.13332024484038,0,0.558075418020783,0.954826184825358,29.4652134868421
A18726,0.947760589127027,0.518039872060822,8.32697654337036,6.11849755625609,0,6.48379940633335,0,3.45516196873838,0.51688806717124,0.484412514264044,2.31875422830665,0.246119495747836,0.0187372608976727,3.00513371782221,0,0.349813094018731,0.945203896509702,32.4402812200957
A18727,0.887721619245138,0.369187547786383,6.45343868591483,2.38377856573245,0.225559827042854,10.3863382676093,0,3.05803117235679,0.440500005932078,0.352743367360667,2.07800908862387,0.469728506281663,0.67398670028663,3.39504004295653,0,0.374741458239843,0.942186256736371,31.1740633971292
A18728,1.04127712415269,0.355705938621016,21.7322462079323,3.4390182437249,0,0,0.836282622499684,12.6153623655889,1.20327747438376,0.791467212445155,7.46870359815988,0.632259325359803,0,5.0511572734956,0,0.559450494998672,0.835912605373085,55.1667573863636
A18729,1.1922040116845,0.205582524280345,24.3870960497076,1.82566824230892,0,0,0,12.3020519146494,1.35477615989765,0.508705558646821,8.08383797433208,0.487383995080279,0,6.42040089596739,0,0.509554613821959,0.864134450315439,56.767707326555
A18730,1.29691550803019,0.598882894455058,10.9268103026931,9.08138978365059,0,0,3.19824624251807,0,0.304883911584016,0.263382862600581,9.20460769806498,0.288789224938374,0.312641195224391,3.41309879131246,0,0.971916108856487,0.288133895790831,38.8896484150718
A18731,1.25605225997927,0.557078434908777,11.5280804083096,8.09347325615054,0,0,3.75634216911973,0,0.322080995797683,0.247378277528383,9.16480256145544,0.257074225998401,0.363450527340637,3.62525117766993,0,0.967422357137252,0.2867757623155,39.1710642942584
A18732,1.12685831003416,0.73297761684224,3.62556874704063,10.0890067624383,0.0670658796206522,5.43469717375433,0.107342604513423,0.44032418979697,0.483629725023116,0.580255656758691,0.256271678140864,0.943096830733801,0.420173263707269,4.22592043719362,0,0.3613239439957,0.972049092818962,28.5331888755981
A18733,0.975987625851875,0.586957545275482,2.43035473889888,6.85886054599305,0,5.40412888586019,0.243616016138759,0.500938814179569,0.401291656040164,0.38845070295657,0.343927825725767,0.72034836079256,0.0489997658537187,3.70322008222289,0,0.395120217549536,0.963668164527423,22.6070825657895
A18738,1.33771705595066,0.816500492355321,10.8751634356438,8.85466860546027,0,0,6.22509714887083,0,0.155112959412505,0.23427231500348,7.14755240643425,0.176875223651885,0.441280333108251,4.80552333152501,0,0.976857961947048,0.264071154375494,41.0697633074163
A18739,1.68772746175886,0.863838545722841,11.3289767622744,7.11543374443155,0,0,6.8403402240197,0,0.0418170887996014,0.1835825146699,8.51060172859132,0,0.618828180056076,3.29894767910159,0,0.980263747211767,0.199687059150943,40.4900939294258
A18742,1.67292434616757,0.97082859276447,14.3331442733435,0,0,3.76047336812647,16.7161942700789,2.21592168339407,0.475099280560247,0.406007697341559,6.40216918663055,0,0.384366971525342,11.0850531649955,0,0.981420822395993,0.196769988421173,58.4221828349282
A18789,1.64516907166349,0.482595880294976,28.2543560775625,3.36300441559701,0,0,16.499494554985,2.1956809834879,0.72654593040827,0.628480636023583,6.4077429606849,0,0,3.92443624766552,0,0.82489730130625,0.574789927803741,64.1275067583732
A18790,2.18990757780498,0.862311583978674,27.2055624538649,3.09426354516895,0.0776603708002093,0,15.2563830243449,0,0.484885972827931,0.65768076047519,12.945140787561,0.0952550116772997,0,3.27323943183091,0,0.877400079734933,0.521382625933552,66.1422905203349
A18791,0.552819045977043,0.242271621277039,25.5086896281262,3.90384131249829,0,0,0,3.86554471476006,0.37857177039291,0.599284824314063,4.2768651087864,0.264153003183314,0,3.30682508910575,0,0.624562487206897,0.839594608903711,42.8988661184211
