Mixture,B,CTL,GMP-like,LSPC-Cycle,LSPC-Primed,LSPC-Quiescent,Mono-like,Monocyte,NK,Plasma,ProMono-like,T,cDC,cDC-like,P-value,Correlation,RMSE,Absolute score (sig.score)
AML_003_Dx,0,0,7.1318730692866,0.714792696338325,0,0.20387505875997,3.81619705748452,9.3043294542098,5.59921034443993,0.708098592111343,2.35675849214423,5.56839505658463,0.309141477549364,0.422010929370318,0,0.948122854492862,0.323669327827177,36.134682228279
AML_003_Rel,0,0.385455939133246,4.06638220611248,0,0,2.45854825011038,1.35212826671003,0.234518724669462,0.127817014877452,0.125716901915798,0.157886453796198,0,0.0687311162069048,1.84234184602009,0,0.868102524379563,0.777069662530704,10.8195267195521
AML_015_Dx,0,0,1.2933033636499,1.06191221650081,0,3.14796880584908,0,4.67023023692577,5.79754454379815,0.43363821409014,2.53520772024792,6.12068353019432,0.544455550057103,2.98941394351925,0,0.983087875409664,0.187687971500139,28.5943581248324
AML_015_Rel,0.377247200711924,0,0.0054701834920056,1.6047705137209,0.911809041505508,4.04088724668324,0,0.712760170524982,0.802005451501646,0.0383651466665376,0.269790267692855,0.860329101307426,0,0.902267699073774,0,0.96719689316579,0.624521763342556,10.5257020228808
AML_028_Dx,0,0,0,1.29992326332278,0,1.4193091454446,2.94146964293181,2.4189021470709,2.86187468884511,0.228760915171664,1.96825396099853,3.05461756073469,0,2.31478078439583,0,0.984725024435521,0.203478960101617,18.5078921089159
AML_028_Rel,0.195570016454765,0,0.0103973015840854,0.596737685849892,0.0586850897367202,2.57325408013721,0,0.897835098581749,0.644979466560085,0.073303814554265,0.470549740878686,1.03904630855437,0,1.12357691632073,0,0.970719236352645,0.456832656534864,7.68393551921257
AML_032_Dx,0,0,7.09891355172853,0,1.15083462414145,0,0,4.33409876160822,7.39115706950826,0.504447775373613,2.04934296733802,8.31415550984382,1.46707995714729,1.44916760774594,0,0.985600643068754,0.184095178299968,33.7591978244351
AML_032_Rel,0.135981025977418,0,1.68280808889061,0.890608848032754,0,1.2296645440135,0,2.97307748737993,1.94059283680645,0.178046021169057,0.319088811255555,0.869433257984794,0.378374875171452,0.472651201559519,0,0.988417249902924,0.183296477779993,11.070326998241
AML_049_Dx,0.145364436990931,0,2.51034263286041,0.951721640858512,0,1.71558264425449,0,1.3399215339349,1.13523478943155,0.206509128498054,1.04241692871131,1.35729858838035,0.0282805937583518,0.939625981267369,0,0.979745087417676,0.425392049149957,11.3722988989462
AML_049_Rel,0.251671361392788,0.422613001167538,0.347700218633922,0.351285813339551,0.120836728978772,3.96917895729133,0,0.458222405305576,0.0662124142742822,0.0246914055640685,0.376993725801117,0,0,1.10606701108433,0,0.689110338303145,0.900990096116467,7.49547304283328
AML_051_Dx,0,0,0,1.17200227073633,0.127399771261713,2.06841801152404,0,2.56748800243589,3.5110008387417,0.28586095616381,1.24349667441013,4.17141280537219,0.140547611815643,1.79219366756374,0,0.986466529428699,0.178897268974635,17.0798206100252
AML_051_Rel,0.201073873766601,0.267057309867825,0.845069133314149,0.912701521611543,0.778034020400912,4.00589028439475,0,0.533771282597641,0.148624904651236,0.0927279588971042,0.711749300503204,0.0251003067697245,0.154017338421347,1.20726387304562,0,0.769477093708966,0.872157847141124,9.88308110824165
AML_059_Dx,0.0520297675324974,0.732005224905925,0.138966202324148,0.60254602133492,0,1.5745985699712,2.8030123644392,0,0.124209846891941,0.234391557258333,0.474543956546928,0.938411055094912,0,5.14494530793888,0,0.903705628924827,0.666956484288459,12.8196598742389
AML_059_Rel,0.396239961729823,0.949902682207329,0.415875671209,2.82905109708995,0.24958842499807,4.03702589224529,0.0355946882216133,0.673371016647422,0.0667414672813604,0.171999345132886,0.0425131649907272,0,0,1.10243307809714,0,0.644088806032563,0.925213509495611,10.9703364898506
AML_064_Dx,0,0,2.64545556719468,0.474110830403985,0,1.74157667163289,0,2.14168007482739,1.5061881518115,0.226245610535592,1.85881610798703,1.27769047739897,0.0952730869121562,1.29203660972569,0,0.942825950500713,0.427206363614885,13.2590731884299
AML_064_Rel,0,0,1.78401815710401,2.80126277199045,0,0.684607801623944,0,11.0993671180004,6.49553222755609,0.601036534180187,1.02123933150857,4.49417820246251,0.224948277737708,2.22656929188714,0,0.984972413284283,0.262485033549736,31.432759714051
AML_103_Dx,0.258013018868978,0.193654874411789,1.60881707647677,1.59666996013868,2.13910290011943,0,0,0.490655649808936,0,0.114535290389278,2.66965516087759,0.489615476248578,0.202071949720767,1.24396382210016,0,0.972806828244328,0.633349846192468,11.006755179161
AML_103_Rel,0.322288845053993,0,1.7086302727897,1.68320303538051,1.66724975067785,0,0,1.89984274613091,0.421581937601638,0.129237233808936,1.39066762202537,3.63760088301317,0.270499267639616,1.02544196414678,0,0.974742140457806,0.33627798742723,14.1562435582685
AML_107_Dx,0.201112959090765,0.32599745452774,1.2871279865796,0.852883403538571,2.08308932901186,0,2.67764674256502,0,0,0.0543053533252139,1.90115340008169,0.226411472665903,0,2.49171318204448,0,0.974967618370713,0.511886208516673,12.1014412834308
AML_107_Rel,0.394072611789783,0,1.34196023462758,2.41793224540382,1.49755323559206,0.0383186415336246,0,1.34145322726496,0.525325973033789,0.0904632275605078,0.96715864731792,2.30727167341916,0.194816920132885,1.0619736800468,0,0.985908568456843,0.427246356761089,12.1783003177229
